value, keys inserted, insertion time (s), keys retrieved, retrieval time (s)
271, 100000,0.213331,100000,4.291566
272, 100000,0.186737,100000,4.404303
273, 100000,0.177109,100000,4.589465
274, 100000,0.364558,100000,3.567814
275, 100000,0.352932,100000,3.564297
276, 100000,0.733001,100000,4.053229
277, 100000,0.293230,100000,4.369739
278, 100000,0.186300,100000,4.716942
279, 100000,0.345865,100000,3.687434
280, 100000,0.246174,100000,4.501570
281, 100000,0.244317,100000,4.238347
282, 100000,0.236944,100000,3.872523
283, 100000,0.260302,100000,4.553984
284, 100000,0.218950,100000,4.192225
285, 100000,0.322619,100000,3.341915
286, 100000,0.163870,100000,4.481311
287, 100000,0.219023,100000,4.820886
288, 100000,0.418376,100000,3.404117
289, 100000,0.205184,100000,4.509383
290, 100000,0.219769,100000,3.863562
291, 100000,0.428214,100000,3.288964
292, 100000,0.181283,100000,4.353344
293, 100000,0.172339,100000,4.554542
294, 100000,0.265192,100000,4.835823
295, 100000,0.275591,100000,4.665197
296, 100000,0.238696,100000,4.682273
297, 100000,0.232275,100000,4.546410
298, 100000,0.269023,100000,3.333061
299, 100000,0.296333,100000,3.475414
300, 100000,0.317206,100000,4.197637
301, 100000,0.230657,100000,4.732197
302, 100000,0.285643,100000,4.239802
303, 100000,0.424928,100000,4.027198
304, 100000,0.160367,100000,5.580706
305, 100000,0.582786,100000,4.631271
306, 100000,0.282660,100000,4.680290
307, 100000,0.322547,100000,4.665336
308, 100000,0.197699,100000,4.683710
309, 100000,0.197205,100000,4.723496
310, 100000,0.253870,100000,3.945439
311, 100000,0.225615,100000,4.122892
312, 100000,0.188653,100000,4.792688
313, 100000,0.244287,100000,4.219580
314, 100000,0.259002,100000,3.948997
315, 100000,0.243597,100000,4.055211
316, 100000,0.421863,100000,3.379309
317, 100000,0.306828,100000,4.258169
318, 100000,0.210915,100000,4.662996
319, 100000,0.267392,100000,4.229225
320, 100000,0.205534,100000,4.217074
321, 100000,0.351121,100000,4.083977
322, 100000,0.209138,100000,4.483872
323, 100000,0.205483,100000,4.518536
324, 100000,0.273128,100000,3.684840
325, 100000,0.457637,100000,3.261568
326, 100000,0.230694,100000,4.620302
327, 100000,0.341000,100000,3.345345
328, 100000,0.252036,100000,4.116769
329, 100000,0.147803,100000,4.408592
330, 100000,0.217930,100000,5.043767
331, 100000,0.214385,100000,4.115928
332, 100000,0.378971,100000,3.984581
333, 100000,0.263977,100000,4.799463
334, 100000,0.470179,100000,3.558990
335, 100000,0.379483,100000,3.775438
336, 100000,0.279713,100000,4.634285
337, 100000,0.283148,100000,3.813311
338, 100000,0.303215,100000,4.068333
339, 100000,0.218037,100000,4.950397
340, 100000,0.235655,100000,4.413035
341, 100000,0.177099,100000,4.829483
342, 100000,0.206542,100000,4.289233
343, 100000,0.431061,100000,3.142090
344, 100000,0.433555,100000,3.594473
345, 100000,0.228093,100000,5.016217
346, 100000,0.404806,100000,4.340826
347, 100000,0.266869,100000,3.990531
348, 100000,0.358106,100000,5.143262
349, 100000,0.312149,100000,4.728576
350, 100000,0.246924,100000,4.931132
351, 100000,0.483969,100000,3.618408
352, 100000,0.183024,100000,4.421574
353, 100000,0.253116,100000,4.317636
354, 100000,0.501159,100000,3.222830
355, 100000,0.289484,100000,3.663470
356, 100000,0.220696,100000,4.843802
357, 100000,0.388736,100000,3.338879
358, 100000,0.236283,100000,4.742352
359, 100000,0.429951,100000,3.721133
360, 100000,0.364694,100000,3.545954
361, 100000,0.550930,100000,4.038022
362, 100000,0.346797,100000,5.023040
363, 100000,1.004551,100000,3.997967
364, 100000,0.322291,100000,3.469657
365, 100000,0.341068,100000,3.584109
366, 100000,0.359360,100000,3.890355
367, 100000,0.199031,100000,4.483423
368, 100000,0.209749,100000,4.211251
369, 100000,0.328176,100000,3.667552
370, 100000,0.294227,100000,4.150178
371, 100000,0.235467,100000,4.383978
372, 100000,0.269593,100000,3.842984
373, 100000,0.179586,100000,4.751612
374, 100000,0.522776,100000,3.324217
375, 100000,0.308137,100000,6.619369
376, 100000,0.278693,100000,8.781616
377, 100000,0.199027,100000,5.477040
378, 100000,0.220793,100000,4.686643
379, 100000,0.274696,100000,4.132907
380, 100000,0.397956,100000,3.431999
381, 100000,0.547128,100000,3.150306
382, 100000,0.285183,100000,4.322794
383, 100000,0.510077,100000,3.426467
384, 100000,0.252945,100000,4.657795
385, 100000,0.418867,100000,3.418309
386, 100000,0.351551,100000,3.802371
387, 100000,0.369543,100000,3.664196
388, 100000,0.265457,100000,4.217466
389, 100000,0.225404,100000,4.804223
390, 100000,0.205199,100000,4.417138
391, 100000,0.263922,100000,4.361921
392, 100000,0.392478,100000,4.416176
393, 100000,0.301379,100000,3.753932
394, 100000,0.478270,100000,3.441437
395, 100000,0.443257,100000,3.762704
396, 100000,0.266836,100000,4.075336
397, 100000,0.519345,100000,3.387932
398, 100000,0.306624,100000,3.612371
